,name,categories,address,lat,lng,labeledLatLngs,distance,postalCode,cc,city,state,country,formattedAddress,crossStreet,neighborhood,id
73,Wegmans Pizza,Pizza Place,21 Flushing Ave,40.698879,-73.979346,"[{'label': 'display', 'lat': 40.698879, 'lng': -73.979346}]",3231,11205,US,Brooklyn,NY,United States,"['21 Flushing Ave', 'Brooklyn, NY 11205', 'United States']",,,5f0fe0b2c5d2fb4660f4d483
75,Luzzo's BK,Pizza Place,145 Atlantic Ave,40.69055503930633,-73.9953332077974,"[{'label': 'display', 'lat': 40.69055503930633, 'lng': -73.9953332077974}]",2854,11201,US,Brooklyn,NY,United States,"['145 Atlantic Ave (btwn Henry & Clinton St)', 'Brooklyn, NY 11201', 'United States']",btwn Henry & Clinton St,,527d8cfc11d2a61a7c663024
76,99¢ Fresh Pizza,Pizza Place,71 2nd Ave,40.72637573745666,-73.9893380436357,"[{'label': 'display', 'lat': 40.72637573745666, 'lng': -73.9893380436357}, {'label': 'entrance', 'lat': 40.726411, 'lng': -73.989472}]",2559,10003,US,New York,NY,United States,"['71 2nd Ave (Between E 4th And E 5th St)', 'New York, NY 10003', 'United States']",Between E 4th And E 5th St,,53b5f4b0498e7253b4854831
77,Joe & Pat's Pizzeria and Restaurant,Pizza Place,168 1st Ave,40.72891620190647,-73.98405621371711,"[{'label': 'display', 'lat': 40.72891620190647, 'lng': -73.98405621371711}, {'label': 'entrance', 'lat': 40.728926, 'lng': -73.984127}]",3085,10009,US,New York,NY,United States,"['168 1st Ave (at E 10th St)', 'New York, NY 10009', 'United States']",at E 10th St,,59e0da82e97dfb754b1cf079
78,Public Display of Affection,Pizza Place,669 Union St,40.67731775009104,-73.98267161349182,"[{'label': 'display', 'lat': 40.67731775009104, 'lng': -73.98267161349182}]",4672,11215,US,Brooklyn,NY,United States,"['669 Union St (4th Ave)', 'Brooklyn, NY 11215', 'United States']",4th Ave,,5e9c8662d2d37b0007b3ab10
79,Napoli Pizza,Pizza Place,1118 Washington St,40.75074285915941,-74.02715927116395,"[{'label': 'display', 'lat': 40.75074285915941, 'lng': -74.02715927116395}, {'label': 'entrance', 'lat': 40.750714, 'lng': -74.027045}]",4438,07030,US,Hoboken,NJ,United States,"['1118 Washington St (11th St)', 'Hoboken, NJ 07030', 'United States']",11th St,,49fcb8fcf964a520d26e1fe3
80,Pizzetteria Brunetti NYC,Pizza Place,626 Hudson St,40.738287721407644,-74.00561324715511,"[{'label': 'display', 'lat': 40.738287721407644, 'lng': -74.00561324715511}]",2967,10014,US,New York,NY,United States,"['626 Hudson St (btwn Horatio & Jane St)', 'New York, NY 10014', 'United States']",btwn Horatio & Jane St,,5243928d2fc659b07ab2f357
81,Bleecker Street Pizza,Pizza Place,69 7th Ave S,40.73226793926731,-74.00358913751454,"[{'label': 'display', 'lat': 40.73226793926731, 'lng': -74.00358913751454}, {'label': 'entrance', 'lat': 40.732201, 'lng': -74.003423}]",2371,10014,US,New York,NY,United States,"['69 7th Ave S (at Bleecker St)', 'New York, NY 10014', 'United States']",at Bleecker St,,49bed0f6f964a520e2541fe3
83,Baby Luc’s,Pizza Place,387 Court St,40.680027,-73.996855,"[{'label': 'display', 'lat': 40.680027, 'lng': -73.996855}]",3849,11231,US,Brooklyn,NY,United States,"['387 Court St (at 1st Pl)', 'Brooklyn, NY 11231', 'United States']",at 1st Pl,,60b241321f4d1207ac3d0d2f
84,Peppino's Pizza,Pizza Place,469 5th Ave,40.66833963093507,-73.98701172473929,"[{'label': 'display', 'lat': 40.66833963093507, 'lng': -73.98701172473929}]",5371,11215,US,Brooklyn,NY,United States,"['469 5th Ave (at 10th St)', 'Brooklyn, NY 11215', 'United States']",at 10th St,,4a7e1c00f964a520fcf01fe3
85,Zero Otto Nove,Pizza Place,2357 Arthur Ave,40.85471353015844,-73.88838751470229,"[{'label': 'display', 'lat': 40.85471353015844, 'lng': -73.88838751470229}]",19033,10458,US,Bronx,NY,United States,"['2357 Arthur Ave (at E 186th St)', 'Bronx, NY 10458', 'United States']",at E 186th St,,4aabd3e6f964a5204a5a20e3
